Date : 2023-04-30 01:50:49
Directory : /Users/turco/WebDev/coderhouse-backend-course
Total : 409 files,  756316 codes, 2606 comments, 4884 blanks, all 763806 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| Desafio Clase 22 (Files)                                                                                         |          2 |         97 |          1 |         34 |        132 |
| Desafio Clase 22/config                                                                                          |          1 |         12 |          0 |          4 |         16 |
| Desafio Clase 22/public                                                                                          |          4 |        113 |          1 |         22 |        136 |
| Desafio Clase 22/public (Files)                                                                                  |          1 |         64 |          1 |         22 |         87 |
| Desafio Clase 22/public/views                                                                                    |          3 |         49 |          0 |          0 |         49 |
| Desafio Clase 22/public/views (Files)                                                                            |          2 |         36 |          0 |          0 |         36 |
| Desafio Clase 22/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 22/routes                                                                                          |          1 |         25 |          0 |          4 |         29 |
| Desafio Clase 24                                                                                                 |         10 |        276 |          1 |         61 |        338 |
| Desafio Clase 24 (Files)                                                                                         |          2 |        105 |          1 |         32 |        138 |
| Desafio Clase 24/config                                                                                          |          1 |         12 |          0 |          4 |         16 |
| Desafio Clase 24/public                                                                                          |          6 |        118 |          0 |         19 |        137 |
| Desafio Clase 24/public (Files)                                                                                  |          1 |         56 |          0 |         19 |         75 |
| Desafio Clase 24/public/views                                                                                    |          5 |         62 |          0 |          0 |         62 |
| Desafio Clase 24/public/views (Files)                                                                            |          4 |         49 |          0 |          0 |         49 |
| Desafio Clase 24/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 24/routes                                                                                          |          1 |         41 |          0 |          6 |         47 |
| Desafio Clase 26                                                                                                 |         15 |        382 |          1 |         86 |        469 |
| Desafio Clase 26 (Files)                                                                                         |          2 |        121 |          1 |         38 |        160 |
| Desafio Clase 26/config                                                                                          |          1 |         12 |          0 |          4 |         16 |
| Desafio Clase 26/lib                                                                                             |          1 |         41 |          0 |         11 |         52 |
| Desafio Clase 26/models                                                                                          |          1 |          6 |          0 |          2 |          8 |
| Desafio Clase 26/public                                                                                          |          9 |        143 |          0 |         19 |        162 |
| Desafio Clase 26/public (Files)                                                                                  |          1 |         56 |          0 |         19 |         75 |
| Desafio Clase 26/public/views                                                                                    |          8 |         87 |          0 |          0 |         87 |
| Desafio Clase 26/public/views (Files)                                                                            |          7 |         74 |          0 |          0 |         74 |
| Desafio Clase 26/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 26/routes                                                                                          |          1 |         59 |          0 |         12 |         71 |
| Desafio Clase 28                                                                                                 |         19 |        451 |          1 |        102 |        554 |
| Desafio Clase 28 (Files)                                                                                         |          4 |        155 |          1 |         48 |        204 |
| Desafio Clase 28/config                                                                                          |          1 |         14 |          0 |          5 |         19 |
| Desafio Clase 28/lib                                                                                             |          1 |         41 |          0 |         11 |         52 |
| Desafio Clase 28/models                                                                                          |          1 |          6 |          0 |          2 |          8 |
| Desafio Clase 28/public                                                                                          |         10 |        152 |          0 |         19 |        171 |
| Desafio Clase 28/public (Files)                                                                                  |          1 |         56 |          0 |         19 |         75 |
| Desafio Clase 28/public/views                                                                                    |          9 |         96 |          0 |          0 |         96 |
| Desafio Clase 28/public/views (Files)                                                                            |          8 |         83 |          0 |          0 |         83 |
| Desafio Clase 28/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 28/routes                                                                                          |          2 |         83 |          0 |         17 |        100 |
| Desafio Clase 30                                                                                                 |         20 |        549 |          3 |        135 |        687 |
| Desafio Clase 30 (Files)                                                                                         |          5 |        250 |          3 |         81 |        334 |
| Desafio Clase 30/config                                                                                          |          1 |         14 |          0 |          5 |         19 |
| Desafio Clase 30/lib                                                                                             |          1 |         41 |          0 |         11 |         52 |
| Desafio Clase 30/models                                                                                          |          1 |          6 |          0 |          2 |          8 |
| Desafio Clase 30/public                                                                                          |         10 |        153 |          0 |         19 |        172 |
| Desafio Clase 30/public (Files)                                                                                  |          1 |         56 |          0 |         19 |         75 |
| Desafio Clase 30/public/views                                                                                    |          9 |         97 |          0 |          0 |         97 |
| Desafio Clase 30/public/views (Files)                                                                            |          8 |         84 |          0 |          0 |         84 |
| Desafio Clase 30/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 30/routes                                                                                          |          2 |         85 |          0 |         17 |        102 |
| Desafio Clase 32                                                                                                 |         28 |    744,992 |          1 |      2,081 |    747,074 |
| Desafio Clase 32 (Files)                                                                                         |          8 |     24,690 |          1 |         76 |     24,767 |
| Desafio Clase 32/7651.0x                                                                                         |          4 |    719,952 |          0 |      1,945 |    721,897 |
| Desafio Clase 32/config                                                                                          |          1 |         14 |          0 |          5 |         19 |
| Desafio Clase 32/lib                                                                                             |          2 |         69 |          0 |         16 |         85 |
| Desafio Clase 32/models                                                                                          |          1 |          6 |          0 |          2 |          8 |
| Desafio Clase 32/public                                                                                          |         10 |        153 |          0 |         19 |        172 |
| Desafio Clase 32/public (Files)                                                                                  |          1 |         56 |          0 |         19 |         75 |
| Desafio Clase 32/public/views                                                                                    |          9 |         97 |          0 |          0 |         97 |
| Desafio Clase 32/public/views (Files)                                                                            |          8 |         84 |          0 |          0 |         84 |
| Desafio Clase 32/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 32/routes                                                                                          |          2 |        108 |          0 |         18 |        126 |
| Desafio Clase 34                                                                                                 |         23 |        578 |          1 |        135 |        714 |
| Desafio Clase 34 (Files)                                                                                         |          7 |        228 |          1 |         75 |        304 |
| Desafio Clase 34/config                                                                                          |          1 |         14 |          0 |          5 |         19 |
| Desafio Clase 34/lib                                                                                             |          2 |         69 |          0 |         16 |         85 |
| Desafio Clase 34/models                                                                                          |          1 |          6 |          0 |          2 |          8 |
| Desafio Clase 34/public                                                                                          |         10 |        153 |          0 |         19 |        172 |
| Desafio Clase 34/public (Files)                                                                                  |          1 |         56 |          0 |         19 |         75 |
| Desafio Clase 34/public/views                                                                                    |          9 |         97 |          0 |          0 |         97 |
| Desafio Clase 34/public/views (Files)                                                                            |          8 |         84 |          0 |          0 |         84 |
| Desafio Clase 34/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 34/routes                                                                                          |          2 |        108 |          0 |         18 |        126 |
| Desafio Clase 36                                                                                                 |         25 |        894 |         10 |        166 |      1,070 |
| Desafio Clase 36 (Files)                                                                                         |          7 |        326 |          1 |         74 |        401 |
| Desafio Clase 36/config                                                                                          |          1 |         14 |          0 |          5 |         19 |
| Desafio Clase 36/lib                                                                                             |          3 |        100 |          1 |         26 |        127 |
| Desafio Clase 36/models                                                                                          |          1 |         23 |          0 |          4 |         27 |
| Desafio Clase 36/public                                                                                          |         11 |        203 |          8 |         20 |        231 |
| Desafio Clase 36/public (Files)                                                                                  |          1 |         56 |          0 |         19 |         75 |
| Desafio Clase 36/public/views                                                                                    |         10 |        147 |          8 |          1 |        156 |
| Desafio Clase 36/public/views (Files)                                                                            |          9 |        134 |          8 |          1 |        143 |
| Desafio Clase 36/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 36/routes                                                                                          |          2 |        228 |          0 |         37 |        265 |
| Desafio Clase 38                                                                                                 |         27 |        882 |         10 |        182 |      1,074 |
| Desafio Clase 38 (Files)                                                                                         |          5 |        286 |          0 |         58 |        344 |
| Desafio Clase 38/config                                                                                          |          1 |         14 |          0 |          5 |         19 |
| Desafio Clase 38/controllers                                                                                     |          1 |        112 |          0 |         23 |        135 |
| Desafio Clase 38/lib                                                                                             |          3 |        100 |          1 |         26 |        127 |
| Desafio Clase 38/models                                                                                          |          1 |         23 |          0 |          4 |         27 |
| Desafio Clase 38/persistance                                                                                     |          2 |         56 |          1 |         18 |         75 |
| Desafio Clase 38/public                                                                                          |         11 |        203 |          8 |         20 |        231 |
| Desafio Clase 38/public (Files)                                                                                  |          1 |         56 |          0 |         19 |         75 |
| Desafio Clase 38/public/views                                                                                    |         10 |        147 |          8 |          1 |        156 |
| Desafio Clase 38/public/views (Files)                                                                            |          9 |        134 |          8 |          1 |        143 |
| Desafio Clase 38/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 38/routes                                                                                          |          2 |         38 |          0 |         18 |         56 |
| Desafio Clase 38/services                                                                                        |          1 |         50 |          0 |         10 |         60 |
| Desafio Clase 4                                                                                                  |          1 |         89 |         20 |         24 |        133 |
| Desafio Clase 40                                                                                                 |         29 |        958 |         10 |        194 |      1,162 |
| Desafio Clase 40 (Files)                                                                                         |          5 |        286 |          0 |         58 |        344 |
| Desafio Clase 40/config                                                                                          |          2 |         40 |          0 |         10 |         50 |
| Desafio Clase 40/controllers                                                                                     |          1 |        116 |          0 |         23 |        139 |
| Desafio Clase 40/lib                                                                                             |          3 |        100 |          1 |         26 |        127 |
| Desafio Clase 40/models                                                                                          |          1 |         23 |          0 |          4 |         27 |
| Desafio Clase 40/persistance                                                                                     |          3 |        102 |          1 |         25 |        128 |
| Desafio Clase 40/public                                                                                          |         11 |        203 |          8 |         20 |        231 |
| Desafio Clase 40/public (Files)                                                                                  |          1 |         56 |          0 |         19 |         75 |
| Desafio Clase 40/public/views                                                                                    |         10 |        147 |          8 |          1 |        156 |
| Desafio Clase 40/public/views (Files)                                                                            |          9 |        134 |          8 |          1 |        143 |
| Desafio Clase 40/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 40/routes                                                                                          |          2 |         38 |          0 |         18 |         56 |
| Desafio Clase 40/services                                                                                        |          1 |         50 |          0 |         10 |         60 |
| Desafio Clase 42                                                                                                 |         32 |      1,005 |         10 |        207 |      1,222 |
| Desafio Clase 42 (Files)                                                                                         |          5 |        286 |          0 |         58 |        344 |
| Desafio Clase 42/config                                                                                          |          2 |         40 |          0 |         10 |         50 |
| Desafio Clase 42/controllers                                                                                     |          1 |        116 |          0 |         23 |        139 |
| Desafio Clase 42/lib                                                                                             |          3 |        100 |          1 |         26 |        127 |
| Desafio Clase 42/models                                                                                          |          1 |         23 |          0 |          4 |         27 |
| Desafio Clase 42/persistance                                                                                     |          3 |        102 |          1 |         25 |        128 |
| Desafio Clase 42/public                                                                                          |         11 |        203 |          8 |         20 |        231 |
| Desafio Clase 42/public (Files)                                                                                  |          1 |         56 |          0 |         19 |         75 |
| Desafio Clase 42/public/views                                                                                    |         10 |        147 |          8 |          1 |        156 |
| Desafio Clase 42/public/views (Files)                                                                            |          9 |        134 |          8 |          1 |        143 |
| Desafio Clase 42/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 42/routes                                                                                          |          2 |         38 |          0 |         18 |         56 |
| Desafio Clase 42/services                                                                                        |          1 |         50 |          0 |         10 |         60 |
| Desafio Clase 42/tests                                                                                           |          3 |         47 |          0 |         13 |         60 |
| Desafio Clase 44                                                                                                 |         33 |      1,041 |         10 |        210 |      1,261 |
| Desafio Clase 44 (Files)                                                                                         |          5 |        302 |          0 |         59 |        361 |
| Desafio Clase 44/config                                                                                          |          2 |         40 |          0 |         10 |         50 |
| Desafio Clase 44/controllers                                                                                     |          1 |        116 |          0 |         23 |        139 |
| Desafio Clase 44/graphql                                                                                         |          1 |         20 |          0 |          2 |         22 |
| Desafio Clase 44/lib                                                                                             |          3 |        100 |          1 |         26 |        127 |
| Desafio Clase 44/models                                                                                          |          1 |         23 |          0 |          4 |         27 |
| Desafio Clase 44/persistance                                                                                     |          3 |        102 |          1 |         25 |        128 |
| Desafio Clase 44/public                                                                                          |         11 |        203 |          8 |         20 |        231 |
| Desafio Clase 44/public (Files)                                                                                  |          1 |         56 |          0 |         19 |         75 |
| Desafio Clase 44/public/views                                                                                    |         10 |        147 |          8 |          1 |        156 |
| Desafio Clase 44/public/views (Files)                                                                            |          9 |        134 |          8 |          1 |        143 |
| Desafio Clase 44/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 44/routes                                                                                          |          2 |         38 |          0 |         18 |         56 |
| Desafio Clase 44/services                                                                                        |          1 |         50 |          0 |         10 |         60 |
| Desafio Clase 44/tests                                                                                           |          3 |         47 |          0 |         13 |         60 |
| Desafio Clase 46                                                                                                 |         54 |      1,409 |      2,505 |        642 |      4,556 |
| Desafio Clase 46/ProductsAPI                                                                                     |         54 |      1,409 |      2,505 |        642 |      4,556 |
| Desafio Clase 46/ProductsAPI (Files)                                                                             |          4 |         71 |         46 |         26 |        143 |
| Desafio Clase 46/ProductsAPI/api                                                                                 |          2 |         10 |         12 |         10 |         32 |
| Desafio Clase 46/ProductsAPI/api/controllers                                                                     |          1 |          2 |          6 |          5 |         13 |
| Desafio Clase 46/ProductsAPI/api/models                                                                          |          1 |          8 |          6 |          5 |         19 |
| Desafio Clase 46/ProductsAPI/assets                                                                              |          2 |        692 |        776 |        299 |      1,767 |
| Desafio Clase 46/ProductsAPI/assets/dependencies                                                                 |          1 |        692 |        753 |        295 |      1,740 |
| Desafio Clase 46/ProductsAPI/assets/styles                                                                       |          1 |          0 |         23 |          4 |         27 |
| Desafio Clase 46/ProductsAPI/config                                                                              |         20 |        103 |        885 |        194 |      1,182 |
| Desafio Clase 46/ProductsAPI/config (Files)                                                                      |         15 |         54 |        564 |        131 |        749 |
| Desafio Clase 46/ProductsAPI/config/env                                                                          |          1 |         33 |        321 |         59 |        413 |
| Desafio Clase 46/ProductsAPI/config/locales                                                                      |          4 |         16 |          0 |          4 |         20 |
| Desafio Clase 46/ProductsAPI/tasks                                                                               |         22 |        342 |        697 |         72 |      1,111 |
| Desafio Clase 46/ProductsAPI/tasks (Files)                                                                       |          1 |         31 |         99 |         18 |        148 |
| Desafio Clase 46/ProductsAPI/tasks/config                                                                        |         11 |        219 |        488 |         37 |        744 |
| Desafio Clase 46/ProductsAPI/tasks/register                                                                      |         10 |         92 |        110 |         17 |        219 |
| Desafio Clase 46/ProductsAPI/views                                                                               |          4 |        191 |         89 |         41 |        321 |
| Desafio Clase 46/ProductsAPI/views (Files)                                                                       |          2 |        109 |          0 |         20 |        129 |
| Desafio Clase 46/ProductsAPI/views/layouts                                                                       |          1 |         14 |         83 |         16 |        113 |
| Desafio Clase 46/ProductsAPI/views/pages                                                                         |          1 |         68 |          6 |          5 |         79 |
| Desafio Clase 47                                                                                                 |          2 |         23 |          0 |          6 |         29 |
| Desafio Clase 6                                                                                                  |          1 |         18 |          0 |          8 |         26 |
| Desafio Clase 8                                                                                                  |          4 |         96 |          0 |         23 |        119 |
| Desafio Clase 8 (Files)                                                                                          |          3 |         66 |          0 |         23 |         89 |
| Desafio Clase 8/public                                                                                           |          1 |         30 |          0 |          0 |         30 |
| Entrega Final                                                                                                    |         34 |      1,079 |         10 |        230 |      1,319 |
| Entrega Final (Files)                                                                                            |          5 |        293 |          0 |         58 |        351 |
| Entrega Final/config                                                                                             |          2 |         42 |          0 |         11 |         53 |
| Entrega Final/controllers                                                                                        |          1 |        137 |          0 |         29 |        166 |
| Entrega Final/lib                                                                                                |          3 |        105 |          1 |         27 |        133 |
| Entrega Final/models                                                                                             |          3 |         26 |          0 |          7 |         33 |
| Entrega Final/persistance                                                                                        |          3 |        133 |          1 |         32 |        166 |
| Entrega Final/public                                                                                             |         11 |        203 |          8 |         20 |        231 |
| Entrega Final/public (Files)                                                                                     |          1 |         56 |          0 |         19 |         75 |
| Entrega Final/public/views                                                                                       |         10 |        147 |          8 |          1 |        156 |
| Entrega Final/public/views (Files)                                                                               |          9 |        134 |          8 |          1 |        143 |
| Entrega Final/public/views/layouts                                                                               |          1 |         13 |          0 |          0 |         13 |
| Entrega Final/routes                                                                                             |          2 |         43 |          0 |         23 |         66 |
| Entrega Final/services                                                                                           |          1 |         50 |          0 |         10 |         60 |
| Entrega Final/tests                                                                                              |          3 |         47 |          0 |         13 |         60 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                         | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/EJS/desafioClase10_EJS.js                         | JavaScript |         16 |          0 |          7 |         23 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/EJS/router1.js                                    | JavaScript |         29 |          0 |          9 |         38 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/EJS/views/inputForm.ejs                           | HTML       |         15 |          0 |          0 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/EJS/views/productView.ejs                         | HTML       |         17 |          0 |          0 |         17 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/Handlebars/desafioClase10_HBS.js                  | JavaScript |         26 |          0 |          8 |         34 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/Handlebars/router1.js                             | JavaScript |         29 |          0 |         11 |         40 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/Handlebars/views/inputForm.hbs                    | Handlebars |         15 |          0 |          0 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/Handlebars/views/layouts/main.hbs                 | Handlebars |         12 |          0 |          0 |         12 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/Handlebars/views/productView.hbs                  | Handlebars |         17 |          0 |          0 |         17 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/PUG/desafioClase10_PUG.js                         | JavaScript |         16 |          0 |          7 |         23 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/PUG/router1.js                                    | JavaScript |         29 |          0 |          9 |         38 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/PUG/views/inputForm.pug                           | Pug        |         14 |          0 |          1 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/PUG/views/main.pug                                | Pug        |         10 |          0 |          0 |         10 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/PUG/views/productView.pug                         | Pug        |         14 |          0 |          1 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 12/desafioClase12.js                                 | JavaScript |         78 |          2 |         31 |        111 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 12/public/client.socket.js                           | JavaScript |         56 |          0 |         24 |         80 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 12/public/views/inputForm.hbs                        | Handlebars |         23 |          0 |          0 |         23 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 12/public/views/layouts/main.hbs                     | Handlebars |         13 |          0 |          0 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 12/public/views/productView.hbs                      | Handlebars |         17 |          0 |          0 |         17 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 12/router1.js                                        | JavaScript |         21 |          0 |         10 |         31 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 14/main.js                                           | JavaScript |         17 |          0 |          7 |         24 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 14/persistence.js                                    | JavaScript |        129 |          2 |         26 |        157 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 14/router.js                                         | JavaScript |         86 |          3 |         13 |        102 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/database/msgDB.sqlite                             | SQL        |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/desafioClase16.js                                 | JavaScript |         67 |          0 |         22 |         89 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/knexTableCreator.js                               | JavaScript |         44 |          1 |          7 |         52 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/persistance.js                                    | JavaScript |         29 |          1 |          4 |         34 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/public/client.socket.js                           | JavaScript |         59 |          0 |         25 |         84 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/public/views/inputForm.hbs                        | Handlebars |         23 |          0 |          0 |         23 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/public/views/layouts/main.hbs                     | Handlebars |         13 |          0 |          0 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/public/views/productView.hbs                      | Handlebars |         17 |          0 |          0 |         17 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/router1.js                                        | JavaScript |          8 |          0 |          3 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 18/desafioClase18.md                                 | Markdown   |         81 |          0 |         30 |        111 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 2/desafioClase2.js                                   | JavaScript |         42 |          0 |         13 |         55 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 20/DAOs/DAOs.js                                      | JavaScript |          8 |          0 |          4 |         12 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 20/Firestore/firestoreConfig.js                      | JavaScript |         12 |          0 |          4 |         16 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 20/Firestore/firestoreContainer.js                   | JavaScript |         85 |          1 |         18 |        104 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 20/MongoDB/mongoConfig.js                            | JavaScript |         20 |          0 |          5 |         25 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 20/MongoDB/mongoContainer.js                         | JavaScript |         71 |          1 |         18 |         90 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/config/firestoreConfig.js                         | JavaScript |         12 |          0 |          4 |         16 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/desafioClase22.js                                 | JavaScript |         58 |          0 |         21 |         79 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/persistance.js                                    | JavaScript |         39 |          1 |         13 |         53 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/public/client.socket.js                           | JavaScript |         64 |          1 |         22 |         87 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/public/views/fakeProds.hbs                        | Handlebars |         15 |          0 |          0 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/public/views/inputForm.hbs                        | Handlebars |         21 |          0 |          0 |         21 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/public/views/layouts/main.hbs                     | Handlebars |         13 |          0 |          0 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/routes/router1.js                                 | JavaScript |         25 |          0 |          4 |         29 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/config/firestoreConfig.js                         | JavaScript |         12 |          0 |          4 |         16 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/desafioClase24.js                                 | JavaScript |         80 |          0 |         23 |        103 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/persistance.js                                    | JavaScript |         25 |          1 |          9 |         35 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/client.socket.js                           | JavaScript |         56 |          0 |         19 |         75 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/fakeProds.hbs                        | Handlebars |         15 |          0 |          0 |         15 |
